Record Id.,Speed (km/h),Fuel (%),Latitude,Engine Temp (°C),Timestamp,Longitude,Driving Behavior
1,30,99.96,18.520647,31,2026-07-20T23:43:48.000,73.855594,Normal Driving
2,36,99.92,18.520894,32,2026-07-20T23:43:58.000,73.854488,Normal Driving
3,41,99.88,18.52114,33.2,2026-07-20T23:44:09.000,73.853382,Normal Driving
4,48,99.81,18.521387,34.5,2026-07-20T23:44:19.000,73.852276,Normal Driving
5,56,99.77,18.521634,35.9,2026-07-20T23:44:29.000,73.851169,Harsh Acceleration
6,64,99.72,18.521881,36.5,2026-07-20T23:44:39.000,73.850063,Harsh Acceleration
7,85,99.69,18.522128,37.3,2026-07-20T23:44:49.000,73.848957,Overspeed
8,87,99.63,18.522374,38.5,2026-07-20T23:44:59.000,73.847851,Overspeed
9,89,99.58,18.522621,39.8,2026-07-20T23:45:09.000,73.846745,Overspeed
10,89,99.51,18.522868,40.7,2026-07-20T23:45:20.000,73.845639,Overspeed
11,88,99.46,18.523115,41.4,2026-07-20T23:45:30.000,73.844533,Overspeed
12,89,99.4,18.523362,42.4,2026-07-20T23:45:40.000,73.843427,Overspeed
13,89,99.37,18.523608,43.8,2026-07-20T23:45:50.000,73.842321,Overspeed
14,89,99.29,18.523855,44.5,2026-07-20T23:46:00.000,73.841215,Overspeed
15,82,99.22,18.524102,45.9,2026-07-20T23:46:10.000,73.840108,Overspeed
16,75,99.16,18.524349,46.9,2026-07-20T23:46:20.000,73.839002,Normal Driving
17,67,99.11,18.524596,48,2026-07-20T23:46:30.000,73.837896,Harsh Braking
18,62,99.05,18.524842,48.9,2026-07-20T23:46:40.000,73.83679,Normal Driving
19,57,98.98,18.525089,49.5,2026-07-20T23:46:50.000,73.835684,Normal Driving
20,49,98.92,18.525336,50.9,2026-07-20T23:47:01.000,73.834578,Harsh Braking
21,42,98.88,18.525583,51.7,2026-07-20T23:47:11.000,73.833472,Normal Driving
